# Duck SH deformation coefficients epsilon_lm (scaled by 0.1)
# R(theta,phi) = R_0 [1 + sum epsilon_lm Y_lm(theta,phi)]
# R_0 = 0.2937620957
# R_eq = 0.4359705304
# Scale factor: 0.1
# ell  m  epsilon_real  epsilon_imag
   1   -1  -6.273383998814e-05  -6.243833123852e-03
   1   +0  +2.027182372167e-01  +0.000000000000e+00
   1   +1  +6.273383998814e-05  -6.243833123852e-03
   2   -2  -2.525628331210e-02  +1.626231084529e-04
   2   -1  +3.906521543640e-04  +5.264844791024e-02
   2   +0  -2.727132239417e-01  +0.000000000000e+00
   2   +1  -3.906521543640e-04  +5.264844791024e-02
   2   +2  -2.525628331210e-02  -1.626231084529e-04
   3   -3  -5.903714339593e-05  +1.557767058796e-02
   3   -2  -6.100557384397e-03  -3.086604155742e-05
   3   -1  -7.864801156031e-05  -8.973342152344e-03
   3   +0  +3.535817065019e-01  +0.000000000000e+00
   3   +1  +7.864801156031e-05  -8.973342152344e-03
   3   +2  -6.100557384397e-03  +3.086604155742e-05
   3   +3  +5.903714339593e-05  +1.557767058796e-02
   4   -4  +5.090068108139e-03  -8.404069015423e-05
   4   -3  -1.873923569250e-05  +4.484390063287e-03
   4   -2  -1.738373662448e-02  +2.456267667751e-04
   4   -1  +5.709067098932e-04  +6.329648350369e-02
   4   +0  -2.250580688444e-01  +0.000000000000e+00
   4   +1  -5.709067098932e-04  +6.329648350369e-02
   4   +2  -1.738373662448e-02  -2.456267667751e-04
   4   +3  +1.873923569250e-05  +4.484390063287e-03
   4   +4  +5.090068108139e-03  +8.404069015423e-05
   5   -5  +7.298224548593e-05  -2.939127641170e-03
   5   -4  +7.451850824912e-03  +3.125262121151e-05
   5   -3  +4.804196703853e-05  -3.223316095966e-03
   5   -2  +2.325059873923e-02  -1.539338825140e-04
   5   -1  -2.724663909991e-04  -4.058300049266e-02
   5   +0  +2.145194265619e-01  +0.000000000000e+00
   5   +1  +2.724663909991e-04  -4.058300049266e-02
   5   +2  +2.325059873923e-02  +1.539338825140e-04
   5   +3  -4.804196703853e-05  -3.223316095966e-03
   5   +4  +7.451850824912e-03  -3.125262121151e-05
   5   +5  -7.298224548593e-05  -2.939127641170e-03
   6   -6  -2.895519890624e-03  +6.203109503122e-05
   6   -5  -2.562548818943e-05  -3.598487942645e-03
   6   -4  +1.725728527069e-03  +3.117776752006e-05
   6   -3  -1.109056877442e-04  -5.456158281037e-03
   6   -2  -1.779924558085e-02  +2.354194475347e-04
   6   -1  +3.604914891901e-04  +3.488360290068e-02
   6   +0  -1.487638302416e-01  +0.000000000000e+00
   6   +1  -3.604914891901e-04  +3.488360290068e-02
   6   +2  -1.779924558085e-02  -2.354194475347e-04
   6   +3  +1.109056877442e-04  -5.456158281037e-03
   6   +4  +1.725728527069e-03  -3.117776752006e-05
   6   +5  +2.562548818943e-05  -3.598487942645e-03
   6   +6  -2.895519890624e-03  -6.203109503122e-05
   7   -7  -5.048364244754e-05  +1.854130071743e-04
   7   -6  -3.700716710736e-03  -2.446527713606e-05
   7   -5  -3.839218554222e-06  -2.313214490694e-03
   7   -4  -2.329681933665e-03  -8.148098549269e-06
   7   -3  +1.072670006123e-04  +8.898991346389e-04
   7   -2  +2.523338362192e-02  -3.547309531626e-04
   7   -1  -3.596785058619e-04  -4.497292900528e-02
   7   +0  +1.021971897938e-01  +0.000000000000e+00
   7   +1  +3.596785058619e-04  -4.497292900528e-02
   7   +2  +2.523338362192e-02  +3.547309531626e-04
   7   +3  -1.072670006123e-04  +8.898991346389e-04
   7   +4  -2.329681933665e-03  +8.148098549269e-06
   7   +5  +3.839218554222e-06  -2.313214490694e-03
   7   +6  -3.700716710736e-03  +2.446527713606e-05
   7   +7  +5.048364244754e-05  +1.854130071743e-04
   8   -8  +7.429044896883e-04  -5.950869076749e-05
   8   -7  +1.157664879701e-05  +1.883637085644e-03
   8   -6  -5.460218396783e-03  -4.735690329959e-06
   8   -5  +3.017102714286e-05  +5.634028068224e-04
   8   -4  -1.949867729337e-04  +3.263291327269e-05
   8   -3  -2.660969353600e-05  +3.273685227083e-03
   8   -2  -1.312889374584e-02  +9.800040194753e-05
   8   -1  +1.870792353251e-04  +1.633416455628e-02
   8   +0  -5.837308536632e-02  +0.000000000000e+00
   8   +1  -1.870792353251e-04  +1.633416455628e-02
   8   +2  -1.312889374584e-02  -9.800040194753e-05
   8   +3  +2.660969353600e-05  +3.273685227083e-03
   8   +4  -1.949867729337e-04  -3.263291327269e-05
   8   +5  -3.017102714286e-05  +5.634028068224e-04
   8   +6  -5.460218396783e-03  +4.735690329959e-06
   8   +7  -1.157664879701e-05  +1.883637085644e-03
   8   +8  +7.429044896883e-04  +5.950869076749e-05
   9   -9  +5.732288562055e-05  -1.573779877432e-04
   9   -8  +1.604334721538e-03  -1.095892118561e-05
   9   -7  -1.701223355362e-05  +2.275892284029e-03
   9   -6  -3.184287189393e-03  -2.880048505113e-05
   9   -5  +2.840400870635e-05  +9.657362378221e-04
   9   -4  -8.695211401475e-04  +3.201198744545e-05
   9   -3  +1.055963386691e-04  +3.619125871684e-03
   9   -2  +1.591787566421e-02  -1.817640039773e-04
   9   -1  -1.552019376740e-04  -1.444529884779e-02
   9   +0  +2.864103389781e-02  +0.000000000000e+00
   9   +1  +1.552019376740e-04  -1.444529884779e-02
   9   +2  +1.591787566421e-02  +1.817640039773e-04
   9   +3  -1.055963386691e-04  +3.619125871684e-03
   9   +4  -8.695211401475e-04  -3.201198744545e-05
   9   +5  -2.840400870635e-05  +9.657362378221e-04
   9   +6  -3.184287189393e-03  +2.880048505113e-05
   9   +7  +1.701223355362e-05  +2.275892284029e-03
