# Duck SH deformation coefficients epsilon_lm (scaled by 0.1)
# R(theta,phi) = R_0 [1 + sum epsilon_lm Y_lm(theta,phi)]
# R_0 = 0.2937620957
# R_eq = 0.4359705304
# Scale factor: 0.1
# ell  m  epsilon_real  epsilon_imag
   9   +8  +1.604334721538e-03  +1.095892118561e-05
   9   +9  -5.732288562055e-05  -1.573779877432e-04
   10   -10  +6.493504146270e-04  +3.132326133165e-05
   10   -9  -1.357226716897e-05  -1.801745851494e-04
   10   -8  +1.534219707831e-03  -7.523123159096e-05
   10   -7  +2.169780505116e-05  +7.672000952628e-04
   10   -6  -7.574487330160e-04  +1.305350161959e-05
   10   -5  +5.034020004032e-05  +1.745630177649e-03
   10   -4  -7.862580628194e-04  +4.638367563095e-05
   10   -3  -9.506820603387e-05  -2.061576920882e-04
   10   -2  -9.558059861911e-03  +1.009117409924e-04
   10   -1  +1.169548045471e-04  +9.952203040004e-03
   10   +0  -1.344075003927e-02  +0.000000000000e+00
   10   +1  -1.169548045471e-04  +9.952203040004e-03
   10   +2  -9.558059861911e-03  -1.009117409924e-04
   10   +3  +9.506820603387e-05  -2.061576920882e-04
   10   +4  -7.862580628194e-04  -4.638367563095e-05
   10   +5  -5.034020004032e-05  +1.745630177649e-03
   10   +6  -7.574487330160e-04  -1.305350161959e-05
   10   +7  -2.169780505116e-05  +7.672000952628e-04
   10   +8  +1.534219707831e-03  +7.523123159096e-05
   10   +9  +1.357226716897e-05  -1.801745851494e-04
   10   +10  +6.493504146270e-04  -3.132326133165e-05
