# Duck SH deformation coefficients epsilon_lm (scaled by 0.3)
# R(theta,phi) = R_0 [1 + sum epsilon_lm Y_lm(theta,phi)]
# R_0 = 0.2937620957
# R_eq = 0.4359705304
# Scale factor: 0.3
# ell  m  epsilon_real  epsilon_imag
   10   +0  -4.032225011781e-02  +0.000000000000e+00
   10   +1  -3.508644136413e-04  +2.985660912001e-02
   10   +2  -2.867417958573e-02  -3.027352229772e-04
   10   +3  +2.852046181016e-04  -6.184730762646e-04
   10   +4  -2.358774188458e-03  -1.391510268928e-04
   10   +5  -1.510206001210e-04  +5.236890532947e-03
   10   +6  -2.272346199048e-03  -3.916050485877e-05
   10   +7  -6.509341515348e-05  +2.301600285788e-03
   10   +8  +4.602659123493e-03  +2.256936947729e-04
   10   +9  +4.071680150691e-05  -5.405237554482e-04
   10   +10  +1.948051243881e-03  -9.396978399495e-05
